### Level 0 Rhythm Game
tilesize: 32
theme: bubblegold
level: {
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xv                                  ux
x                                    x
x                                    x
x                                    x
x                                    x
x                                    x
x                                    x
x                                    x
x                                    x
x                                    x
x                                    x
x                                    x
x                                    x
x                                    x
x                                    x
x                                    x
x                                    x
x\                                  /x
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
}
